Index,SKU Code,Design No.,Stock,Gender,Category,Size,Color
7555,SET094-KR-NP-S,SET094,13,Female,KURTA SET,S,Turquoise Green
7556,SET094-KR-NP-XL,SET094,41,Female,KURTA SET,XL,Turquoise Green
7557,SET094-KR-NP-XS,SET094,2,Female,KURTA SET,XS,Turquoise Green
7558,SET094-KR-NP-XXL,SET094,58,Female,KURTA SET,XXL,Turquoise Green
7559,SET094-KR-NP-XXXL,SET094,8,Female,KURTA SET,XXXL,Turquoise Green
7560,SET097-KR-PP-L,SET097,13,Female,KURTA SET,L,Mustard
7561,SET097-KR-PP-M,SET097,30,Female,KURTA SET,M,Mustard
7562,SET097-KR-PP-S,SET097,17,Female,KURTA SET,S,Mustard
7563,SET097-KR-PP-XL,SET097,25,Female,KURTA SET,XL,Mustard
7564,SET097-KR-PP-XS,SET097,57,Female,KURTA SET,XS,Mustard
7565,SET097-KR-PP-XXL,SET097,1,Female,KURTA SET,XXL,Mustard
7566,SET097-KR-PP-XXXL,SET097,6,Female,KURTA SET,XXXL,Mustard
7567,SET098-KR-PP-L,SET098,66,Female,KURTA SET,L,Navy Blue
7568,SET098-KR-PP-M,SET098,163,Female,KURTA SET,M,Navy Blue
7569,SET098-KR-PP-S,SET098,53,Female,KURTA SET,S,Navy Blue
7570,SET098-KR-PP-XL,SET098,50,Female,KURTA SET,XL,Navy Blue
7571,SET098-KR-PP-XS,SET098,132,Female,KURTA SET,XS,Navy Blue
7572,SET098-KR-PP-XXL,SET098,16,Female,KURTA SET,XXL,Navy Blue
7573,SET098-KR-PP-XXXL,SET098,25,Female,KURTA SET,XXXL,Navy Blue
7574,SET100-KR-PP-L,SET100,3,Female,KURTA SET,L,Light Green
7575,SET100-KR-PP-M,SET100,3,Female,KURTA SET,M,Light Green
7576,SET100-KR-PP-S,SET100,22,Female,KURTA SET,S,Light Green
7577,SET100-KR-PP-XL,SET100,2,Female,KURTA SET,XL,Light Green
7578,SET100-KR-PP-XS,SET100,40,Female,KURTA SET,XS,Light Green
7579,SET100-KR-PP-XXL,SET100,2,Female,KURTA SET,XXL,Light Green
7580,SET100-KR-PP-XXXL,SET100,0,Female,KURTA SET,XXXL,Light Green
7581,SET102-KR-PP-L,SET102,1,Male,SET,L,Navy Blue
7582,SET102-KR-PP-S,SET102,0,Male,SET,S,Navy Blue
7583,SET102-KR-PP-XL,SET102,1,Male,SET,XL,Navy Blue
7584,SET102-KR-PP-XXL,SET102,2,Male,SET,XXL,Navy Blue
7585,SET102-KR-PP-XXXL,SET102,1,Male,SET,XXXL,Navy Blue
7586,SET110-KR-PP-L,SET110,5,Female,KURTA SET,L,Black
7587,SET110-KR-PP-M,SET110,9,Female,KURTA SET,M,Black
7588,SET110-KR-PP-S,SET110,37,Female,KURTA SET,S,Black
7589,SET110-KR-PP-XL,SET110,2,Female,KURTA SET,XL,Black
7590,SET110-KR-PP-XS,SET110,47,Female,KURTA SET,XS,Black
7591,SET110-KR-PP-XXL,SET110,9,Female,KURTA SET,XXL,Black
7592,SET110-KR-PP-XXXL,SET110,44,Female,KURTA SET,XXXL,Black
7595,SET116-KR-NP-L,SET116,3,Female,KURTA SET,L,Yellow
7596,SET116-KR-NP-M,SET116,0,Female,KURTA SET,M,Yellow
7597,SET116-KR-NP-S,SET116,4,Female,KURTA SET,S,Yellow
7598,SET116-KR-NP-XL,SET116,3,Female,KURTA SET,XL,Yellow
7599,SET116-KR-NP-XS,SET116,5,Female,KURTA SET,XS,Yellow
7600,SET116-KR-NP-XXL,SET116,5,Female,KURTA SET,XXL,Yellow
7601,SET116-KR-NP-XXXL,SET116,6,Female,KURTA SET,XXXL,Yellow
7602,SET117-KR-NP-XS,SET117,1,Male,SET,XS,Blue
7603,SET121-KR-NP-L,SET121,0,Male,SET,L,Blue
7604,SET121-KR-NP-M,SET121,0,Male,SET,M,Blue
7605,SET121-KR-NP-S,SET121,0,Male,SET,S,Blue
7606,SET121-KR-NP-XL,SET121,0,Male,SET,XL,Blue
7607,SET121-KR-NP-XS,SET121,0,Male,SET,XS,Blue
7608,SET121-KR-NP-XXL,SET121,0,Male,SET,XXL,Blue
7609,SET121-KR-NP-XXXL,SET121,0,Male,SET,XXXL,Blue
7610,SET128-KR-DH-L,SET128,16,Male,SET,L,Beige
7611,SET128-KR-DH-M,SET128,10,Male,SET,M,Beige
7612,SET128-KR-DH-S,SET128,48,Male,SET,S,Beige
7613,SET128-KR-DH-XL,SET128,4,Male,SET,XL,Beige
7614,SET128-KR-DH-XS,SET128,63,Male,SET,XS,Beige
7615,SET128-KR-DH-XXL,SET128,10,Male,SET,XXL,Beige
7616,SET128-KR-DH-XXXL,SET128,18,Male,SET,XXXL,Beige
7617,SET130-KR-NP-L,SET130,3,Female,KURTA SET,L,Magenta
7618,SET130-KR-NP-M,SET130,77,Female,KURTA SET,M,Magenta
7619,SET130-KR-NP-S,SET130,43,Female,KURTA SET,S,Magenta
7620,SET130-KR-NP-XL,SET130,41,Female,KURTA SET,XL,Magenta
7621,SET130-KR-NP-XS,SET130,46,Female,KURTA SET,XS,Magenta
7622,SET130-KR-NP-XXL,SET130,10,Female,KURTA SET,XXL,Magenta
7623,SET130-KR-NP-XXXL,SET130,7,Female,KURTA SET,XXXL,Magenta
7624,SET131-KR-NP-L,SET131,5,Female,KURTA SET,L,Blue
7625,SET131-KR-NP-M,SET131,4,Female,KURTA SET,M,Blue
7626,SET131-KR-NP-S,SET131,10,Female,KURTA SET,S,Blue
7627,SET131-KR-NP-XL,SET131,12,Female,KURTA SET,XL,Blue
7628,SET131-KR-NP-XS,SET131,114,Female,KURTA SET,XS,Blue
7629,SET131-KR-NP-XXL,SET131,5,Female,KURTA SET,XXL,Blue
7630,SET131-KR-NP-XXXL,SET131,10,Female,KURTA SET,XXXL,Blue
7631,SET132-KR-NP-L,SET132,3,Female,KURTA SET,L,Light Green
7632,SET132-KR-NP-M,SET132,8,Female,KURTA SET,M,Light Green
7633,SET132-KR-NP-S,SET132,38,Female,KURTA SET,S,Light Green
7634,SET132-KR-NP-XL,SET132,4,Female,KURTA SET,XL,Light Green
7635,SET132-KR-NP-XS,SET132,23,Female,KURTA SET,XS,Light Green
7636,SET132-KR-NP-XXL,SET132,10,Female,KURTA SET,XXL,Light Green
7637,SET132-KR-NP-XXXL,SET132,3,Female,KURTA SET,XXXL,Light Green
7638,SET135-KR-PP-L,SET135,2,Male,SET,L,Navy Blue
7639,SET135-KR-PP-M,SET135,0,Male,SET,M,Navy Blue
7640,SET135-KR-PP-XL,SET135,1,Male,SET,XL,Navy Blue
7641,SET135-KR-PP-XS,SET135,3,Male,SET,XS,Navy Blue
7642,SET135-KR-PP-XXXL,SET135,3,Male,SET,XXXL,Navy Blue
7643,SET138-KR-PP-L,SET138,1,Female,KURTA SET,L,Pink
7644,SET138-KR-PP-M,SET138,2,Female,KURTA SET,M,Pink
7645,SET138-KR-PP-S,SET138,4,Female,KURTA SET,S,Pink
7646,SET138-KR-PP-XL,SET138,2,Female,KURTA SET,XL,Pink
7647,SET138-KR-PP-XS,SET138,6,Female,KURTA SET,XS,Pink
7648,SET138-KR-PP-XXL,SET138,3,Female,KURTA SET,XXL,Pink
7649,SET138-KR-PP-XXXL,SET138,2,Female,KURTA SET,XXXL,Pink
7650,SET139-KR-PP-L,SET139,0,Male,SET,L,Maroon
7651,SET139-KR-PP-M,SET139,1,Male,SET,M,Maroon
7652,SET139-KR-PP-S,SET139,0,Male,SET,S,Maroon
7653,SET139-KR-PP-XL,SET139,0,Male,SET,XL,Maroon
7654,SET139-KR-PP-XS,SET139,1,Male,SET,XS,Maroon
7655,SET139-KR-PP-XXL,SET139,0,Male,SET,XXL,Maroon
7656,SET139-KR-PP-XXXL,SET139,0,Male,SET,XXXL,Maroon
7657,SET143-KR-PP-L,SET143,0,Male,SET,L,Red
7658,SET143-KR-PP-M,SET143,3,Male,SET,M,Red
7659,SET143-KR-PP-S,SET143,2,Male,SET,S,Red
7660,SET143-KR-PP-XL,SET143,1,Male,SET,XL,Red
7661,SET143-KR-PP-XS,SET143,2,Male,SET,XS,Red
7662,SET143-KR-PP-XXL,SET143,0,Male,SET,XXL,Red
7663,SET143-KR-PP-XXXL,SET143,0,Male,SET,XXXL,Red
7664,SET144-KR-NP-L,SET144,51,Female,KURTA SET,L,Pink
7665,SET144-KR-NP-M,SET144,51,Female,KURTA SET,M,Pink
7666,SET144-KR-NP-S,SET144,61,Female,KURTA SET,S,Pink
7667,SET144-KR-NP-XL,SET144,48,Female,KURTA SET,XL,Pink
7668,SET144-KR-NP-XS,SET144,19,Female,KURTA SET,XS,Pink
7669,SET144-KR-NP-XXL,SET144,23,Female,KURTA SET,XXL,Pink
7670,SET144-KR-NP-XXXL,SET144,33,Female,KURTA SET,XXXL,Pink
7671,SET145-KR-NP-L,SET145,4,Female,KURTA SET,L,Blue
7672,SET145-KR-NP-M,SET145,3,Female,KURTA SET,M,Blue
7673,SET145-KR-NP-S,SET145,5,Female,KURTA SET,S,Blue
7674,SET145-KR-NP-XL,SET145,5,Female,KURTA SET,XL,Blue
7675,SET145-KR-NP-XS,SET145,7,Female,KURTA SET,XS,Blue
7676,SET145-KR-NP-XXL,SET145,3,Female,KURTA SET,XXL,Blue
7677,SET145-KR-NP-XXXL,SET145,3,Female,KURTA SET,XXXL,Blue
7678,SET147-KR-NP-L,SET147,0,Female,KURTA SET,L,Navy Blue
7679,SET147-KR-NP-M,SET147,1,Female,KURTA SET,M,Navy Blue
7680,SET147-KR-NP-S,SET147,0,Female,KURTA SET,S,Navy Blue
7681,SET147-KR-NP-XL,SET147,1,Female,KURTA SET,XL,Navy Blue
7682,SET147-KR-NP-XS,SET147,2,Female,KURTA SET,XS,Navy Blue
7683,SET147-KR-NP-XXL,SET147,0,Female,KURTA SET,XXL,Navy Blue
7684,SET147-KR-NP-XXXL,SET147,3,Female,KURTA SET,XXXL,Navy Blue
7685,SET152-KR-NP-L,SET152,0,Male,SET,L,Orange
7686,SET152-KR-NP-M,SET152,0,Male,SET,M,Orange
7687,SET152-KR-NP-S,SET152,0,Male,SET,S,Orange
7688,SET152-KR-NP-XL,SET152,0,Male,SET,XL,Orange
7689,SET152-KR-NP-XS,SET152,3,Male,SET,XS,Orange
7690,SET152-KR-NP-XXL,SET152,0,Male,SET,XXL,Orange
7691,SET152-KR-NP-XXXL,SET152,0,Male,SET,XXXL,Orange
7692,SET153-KR-NP-L,SET153,0,Male,SET,L,Black
7693,SET153-KR-NP-M,SET153,1,Male,SET,M,Black
7694,SET153-KR-NP-S,SET153,0,Male,SET,S,Black
7695,SET153-KR-NP-XL,SET153,1,Male,SET,XL,Black
7696,SET153-KR-NP-XS,SET153,3,Male,SET,XS,Black
7697,SET153-KR-NP-XXL,SET153,0,Male,SET,XXL,Black
7698,SET153-KR-NP-XXXL,SET153,0,Male,SET,XXXL,Black
7699,SET154-KR-NP-L,SET154,20,Female,KURTA SET,L,Blue
7700,SET154-KR-NP-M,SET154,38,Female,KURTA SET,M,Blue
7701,SET154-KR-NP-S,SET154,16,Female,KURTA SET,S,Blue
7702,SET154-KR-NP-XL,SET154,19,Female,KURTA SET,XL,Blue
7703,SET154-KR-NP-XS,SET154,22,Female,KURTA SET,XS,Blue
7704,SET154-KR-NP-XXL,SET154,3,Female,KURTA SET,XXL,Blue
7705,SET154-KR-NP-XXXL,SET154,4,Female,KURTA SET,XXXL,Blue
7706,SET155-KR-PP-L,SET155,0,Female,KURTA SET,L,Grey
7707,SET155-KR-PP-M,SET155,1,Female,KURTA SET,M,Grey
7708,SET155-KR-PP-S,SET155,1,Female,KURTA SET,S,Grey
7709,SET155-KR-PP-XL,SET155,1,Female,KURTA SET,XL,Grey
7710,SET155-KR-PP-XS,SET155,2,Female,KURTA SET,XS,Grey
7711,SET155-KR-PP-XXL,SET155,0,Female,KURTA SET,XXL,Grey
7712,SET155-KR-PP-XXXL,SET155,0,Female,KURTA SET,XXXL,Grey
7713,SET156-KR-NP-L,SET156,10,Female,KURTA SET,L,Yellow
7714,SET156-KR-NP-M,SET156,9,Female,KURTA SET,M,Yellow
7715,SET156-KR-NP-S,SET156,21,Female,KURTA SET,S,Yellow
7716,SET156-KR-NP-XL,SET156,14,Female,KURTA SET,XL,Yellow
7717,SET156-KR-NP-XS,SET156,9,Female,KURTA SET,XS,Yellow
7718,SET156-KR-NP-XXL,SET156,25,Female,KURTA SET,XXL,Yellow
7719,SET156-KR-NP-XXXL,SET156,14,Female,KURTA SET,XXXL,Yellow
7720,SET158-KR-PP-L,SET158,28,Female,KURTA SET,L,Mustard
7721,SET158-KR-PP-M,SET158,35,Female,KURTA SET,M,Mustard
7722,SET158-KR-PP-S,SET158,52,Female,KURTA SET,S,Mustard
7723,SET158-KR-PP-XL,SET158,51,Female,KURTA SET,XL,Mustard
7724,SET158-KR-PP-XS,SET158,49,Female,KURTA SET,XS,Mustard
7725,SET158-KR-PP-XXL,SET158,71,Female,KURTA SET,XXL,Mustard
7726,SET158-KR-PP-XXXL,SET158,21,Female,KURTA SET,XXXL,Mustard
7727,SET159-KR-NP-L,SET159,1,Female,KURTA SET,L,Beige
7728,SET159-KR-NP-M,SET159,1,Female,KURTA SET,M,Beige
7729,SET159-KR-NP-S,SET159,0,Female,KURTA SET,S,Beige
7730,SET159-KR-NP-XL,SET159,1,Female,KURTA SET,XL,Beige
7731,SET159-KR-NP-XS,SET159,0,Female,KURTA SET,XS,Beige
7732,SET159-KR-NP-XXL,SET159,0,Female,KURTA SET,XXL,Beige
7733,SET165-KR-PP-L,SET165,4,Female,KURTA SET,L,Blue
7734,SET165-KR-PP-M,SET165,1,Female,KURTA SET,M,Blue
7735,SET165-KR-PP-S,SET165,1,Female,KURTA SET,S,Blue
7736,SET165-KR-PP-XL,SET165,4,Female,KURTA SET,XL,Blue
7737,SET165-KR-PP-XS,SET165,8,Female,KURTA SET,XS,Blue
7738,SET165-KR-PP-XXL,SET165,7,Female,KURTA SET,XXL,Blue
7739,SET165-KR-PP-XXXL,SET165,0,Female,KURTA SET,XXXL,Blue
7740,SET171-KR-NP-L,SET171,6,Female,KURTA SET,L,Cream
7741,SET171-KR-NP-M,SET171,2,Female,KURTA SET,M,Cream
7742,SET171-KR-NP-S,SET171,5,Female,KURTA SET,S,Cream
7743,SET171-KR-NP-XL,SET171,4,Female,KURTA SET,XL,Cream
7744,SET171-KR-NP-XS,SET171,52,Female,KURTA SET,XS,Cream
7745,SET171-KR-NP-XXL,SET171,1,Female,KURTA SET,XXL,Cream
7746,SET171-KR-NP-XXXL,SET171,9,Female,KURTA SET,XXXL,Cream
7747,SET172-KR-PP-L,SET172,51,Female,KURTA SET,L,Multicolor
7748,SET172-KR-PP-M,SET172,59,Female,KURTA SET,M,Multicolor
7749,SET172-KR-PP-S,SET172,22,Female,KURTA SET,S,Multicolor
7750,SET172-KR-PP-XL,SET172,9,Female,KURTA SET,XL,Multicolor
7751,SET172-KR-PP-XS,SET172,28,Female,KURTA SET,XS,Multicolor
7752,SET172-KR-PP-XXL,SET172,65,Female,KURTA SET,XXL,Multicolor
7753,SET172-KR-PP-XXXL,SET172,104,Female,KURTA SET,XXXL,Multicolor
7754,SET179-KR-PP-L,SET179,0,Female,KURTA SET,L,White
7755,SET179-KR-PP-M,SET179,1,Female,KURTA SET,M,White
7756,SET179-KR-PP-S,SET179,0,Female,KURTA SET,S,White
7757,SET179-KR-PP-XL,SET179,0,Female,KURTA SET,XL,White
7758,SET179-KR-PP-XS,SET179,6,Female,KURTA SET,XS,White
7759,SET179-KR-PP-XXL,SET179,1,Female,KURTA SET,XXL,White
